display_key,combined_key,file_name,country,province,latitude,longitude,population
El Salvador,", El Salvador",El Salvador,El Salvador,,13.7942,-88.8965,6486205.0
Equatorial Guinea,", Equatorial Guinea",Equatorial Guinea,Equatorial Guinea,,1.6508,10.2679,1402985.0
Eritrea,", Eritrea",Eritrea,Eritrea,,15.1794,39.7823,3546421.0
Estonia,", Estonia",Estonia,Estonia,,58.5953,25.0136,1326535.0
Eswatini,", Eswatini",Eswatini,Eswatini,,-26.5225,31.4659,1160164.0
Ethiopia,", Ethiopia",Ethiopia,Ethiopia,,9.145,40.4897,114963588.0
Fiji,", Fiji",Fiji,Fiji,,-17.7134,178.065,896445.0
Finland,", Finland",Finland,Finland,,61.92411,25.748151,5540720.0
France,", France",France,France,,46.2276,2.2137,65273511.0
"France, French Guiana","French Guiana, France",French Guiana,France,French Guiana,3.9339,-53.1258,298682.0
"France, French Polynesia","French Polynesia, France",French Polynesia,France,French Polynesia,-17.6797,149.4068,280908.0
"France, Guadeloupe","Guadeloupe, France",Guadeloupe,France,Guadeloupe,16.265,-61.551,400124.0
"France, Martinique","Martinique, France",Martinique,France,Martinique,14.6415,-61.0242,375265.0
"France, Mayotte","Mayotte, France",Mayotte,France,Mayotte,-12.8275,45.166244,272815.0
"France, New Caledonia","New Caledonia, France",New Caledonia,France,New Caledonia,-20.904305,165.618042,285498.0
"France, Reunion","Reunion, France",Reunion,France,Reunion,-21.1151,55.5364,895312.0
"France, Saint Barthelemy","Saint Barthelemy, France",Saint Barthelemy,France,Saint Barthelemy,17.9,-62.8333,9877.0
"France, Saint Pierre and Miquelon","Saint Pierre and Miquelon, France",Saint Pierre and Miquelon,France,Saint Pierre and Miquelon,46.8852,-56.3159,5794.0
"France, St Martin","St Martin, France",St Martin,France,St Martin,18.0708,-63.0501,38666.0
"France, Wallis and Futuna","Wallis and Futuna, France",Wallis and Futuna,France,Wallis and Futuna,-14.2938,-178.1165,0.0
Gabon,", Gabon",Gabon,Gabon,,-0.8037,11.6094,2225734.0
Gambia,", Gambia",Gambia,Gambia,,13.4432,-15.3101,2416668.0
Georgia,", Georgia",Georgia,Georgia,,42.3154,43.3569,3989167.0
Germany,", Germany",Germany,Germany,,51.165691,10.451526,83783942.0
Ghana,", Ghana",Ghana,Ghana,,7.9465,-1.0232,31072940.0
Greece,", Greece",Greece,Greece,,39.0742,21.8243,10423054.0
Grenada,", Grenada",Grenada,Grenada,,12.1165,-61.679,112523.0
Guatemala,", Guatemala",Guatemala,Guatemala,,15.7835,-90.2308,17915568.0
Guinea,", Guinea",Guinea,Guinea,,9.9456,-9.6966,13132795.0
Guinea-Bissau,", Guinea-Bissau",Guinea-Bissau,Guinea-Bissau,,11.8037,-15.1804,1968001.0
Guyana,", Guyana",Guyana,Guyana,,4.860416,-58.93018,786552.0
Haiti,", Haiti",Haiti,Haiti,,18.9712,-72.2852,11402528.0
Holy See,", Holy See",Holy See,Holy See,,41.9029,12.4534,801.0
Honduras,", Honduras",Honduras,Honduras,,15.2,-86.2419,9904607.0
